date_id,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era
1,2021,1,2021-Q1,2021-01-01,True,False
2,2021,2,2021-Q2,2021-04-01,True,False
3,2021,3,2021-Q3,2021-07-01,True,False
4,2021,4,2021-Q4,2021-10-01,True,False
5,2022,1,2022-Q1,2022-01-01,True,False
6,2022,2,2022-Q2,2022-04-01,False,False
7,2022,3,2022-Q3,2022-07-01,False,False
8,2022,4,2022-Q4,2022-10-01,False,True
9,2023,1,2023-Q1,2023-01-01,False,True
10,2023,2,2023-Q2,2023-04-01,False,True
11,2023,3,2023-Q3,2023-07-01,False,True
12,2023,4,2023-Q4,2023-10-01,False,True
13,2024,1,2024-Q1,2024-01-01,False,True
14,2024,2,2024-Q2,2024-04-01,False,True
15,2024,3,2024-Q3,2024-07-01,False,True
16,2024,4,2024-Q4,2024-10-01,False,True
